===== ROBUSTNESS SNAPSHOT =====
 id    refresh_id                   ts                            version              source_edge_id  symbol   side         family_name                     setup                      profile           horizon_min  n           avg_r                  lcb_r               winrate          worst_r      best_r    recent20_n     recent20_avg_r          recent20_lcb_r      recent20_winrate  recent50_n     recent50_avg_r         recent50_lcb_r       recent50_winrate        decay_guard       overfit_penalty  robustness_score    validation_state     canary_permission                                                                         hard_vetoes                                                                                                           payload
4507  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7207  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_REBOUND_LONG              SWING_240_TP2_5_SL1_2             240  40            0.031201761   -0.05944417821119146                60.0         -1.0  0.54442074          20  -0.058683592500000006    -0.14739627914262146              35.0          40            0.031201761   -0.05944417821119146                60.0  -0.089885353500000015             50.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT20_NEGATIVE_WHILE_FULL_POSITIVE","RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS","RECENT20_TOXIC"]                  {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4508  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7208  ETHUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_TREND_PULLBACK_LONG       SCALP_15_TP1_2_SL1_0               15  47  -0.036266233404255319   -0.11322083620046208  57.446808510638299         -1.0  0.65933238          20   0.020722329000000005   -0.081615025080974762              65.0          47  -0.036266233404255319   -0.11322083620046208  57.446808510638299   0.056988562404255323             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS"]                                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4509  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7209  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_LONG     SCALP_15_TP1_2_SL1_0               15  48  -0.013220733541666667  -0.095281399067166983               56.25         -1.0  0.68663925          20            0.020752381   -0.079654543182919257              55.0          48  -0.013220733541666667  -0.095281399067166983               56.25   0.033973114541666669             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WORST_GE_1R_LOSS"]                                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4512  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7212  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_TREND_PULLBACK_LONG       SCALP_15_TP1_2_SL1_0               15  48  -0.011695362083333334  -0.095793305318691208  54.166666666666664         -1.0  0.83216901          20   0.024413272499999996       -0.08538162635955              50.0          48  -0.011695362083333334  -0.095793305318691208  54.166666666666664   0.036108634583333327             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55","WORST_GE_1R_LOSS"]                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4514  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7214  BTCUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_TREND_CONTINUATION_SHORT  SWING_240_TP2_5_SL1_2             240  40         -0.07307337775   -0.14117949411336589                40.0  -0.54442074  0.38550426          20   0.058683592500000006   -0.030029094142621449              65.0          40         -0.07307337775   -0.14117949411336589                40.0          0.13175697025             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55"]                                                                              {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4515  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7215  BTCUSDT  SHORT  REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_SHORT    SWING_240_TP2_5_SL1_2             240  39  -0.084831778717948711   -0.15184771561326088   38.46153846153846  -0.54442074  0.33646137          20   0.034870517000000004   -0.049933573830934136              60.0          39  -0.084831778717948711   -0.15184771561326088   38.46153846153846    0.11970229571794871             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55"]                                                                              {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4516  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7216  BTCUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_TREND_CONTINUATION_SHORT  SCALP_45_TP1_6_SL1_0               45  48   0.016574516875000004  -0.092253552794479846  45.833333333333336  -0.86651508  1.06703627          20   0.076450160999999989   -0.073111282786428505              55.0          48   0.016574516875000004  -0.092253552794479846  45.833333333333336   0.059875644124999988             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55"]                                                                              {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4517  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7217  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_TREND_PULLBACK_LONG       INTRADAY_120_TP2_0_SL1_1          120  43   0.014696989069767446   -0.10207601645075555  51.162790697674417         -1.0  1.04348467          20          -0.0172284355    -0.15938044632905155              45.0          43   0.014696989069767446   -0.10207601645075555  51.162790697674417  -0.031925424569767449             50.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT20_NEGATIVE_WHILE_FULL_POSITIVE","RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55","WORST_GE_1R_LOSS"]                   {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4518  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7218  BTCUSDT  LONG   REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_LONG     INTRADAY_120_TP2_0_SL1_1          120  43   0.012974015116279073   -0.10419752607966851  51.162790697674417         -1.0  1.04348467          20          -0.0209328295    -0.16451481107094126              45.0          43   0.012974015116279073   -0.10419752607966851  51.162790697674417  -0.033906844616279075             50.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT20_NEGATIVE_WHILE_FULL_POSITIVE","RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55","WORST_GE_1R_LOSS","RECENT20_TOXIC"]  {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4519  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7219  ETHUSDT  SHORT  BOUNCE_FADE_TREND_FAMILY  UAL2_TREND_CONTINUATION_SHORT  INTRADAY_120_TP2_0_SL1_1          120  43   0.005403973953488371   -0.08078051501243419  53.488372093023259         -1.0  0.91928582          20   0.010043621999999995    -0.10010798564999726              55.0          43   0.005403973953488371   -0.08078051501243419  53.488372093023259  0.0046396480465116241             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55","WORST_GE_1R_LOSS"]                                                           {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
4520  1782645536341  2026-06-28T11:18:56.341697+00:00  EDGE_ROBUSTNESS_VALIDATOR_V9_2            7220  BTCUSDT  SHORT  REBOUND_PULLBACK_FAMILY   UAL2_SQUEEZE_REVERSAL_SHORT    SCALP_45_TP1_6_SL1_0               45  47   0.008823897021276601   -0.10106893736672594  44.680851063829785  -0.86651508  1.06703627          20   0.076389059000000009    -0.07098076633020961              55.0          47   0.008823897021276601   -0.10106893736672594  44.680851063829785   0.067565161978723407             20.0               0.0  ROBUSTNESS_BLOCK                       0  ["RECENT50_LCB_TOO_NEGATIVE","LCB_NOT_POSITIVE","AVG_LT_006R","WINRATE_LT_55"]                                                                              {"source":"EDGE_ROBUSTNESS_VALIDATOR_V9_2","no_execution_permission":true}
